iter	Passed	Remaining
426	3313	566
427	3323	559
428	3329	550
429	3332	542
430	3342	535
431	3348	527
432	3356	519
433	3360	511
434	3366	503
435	3374	495
436	3398	489
437	3415	483
438	3424	475
439	3428	467
440	3432	459
441	3444	451
442	3456	444
443	3461	436
444	3465	428
445	3477	421
446	3489	413
447	3493	405
448	3497	397
449	3505	389
450	3509	381
451	3513	373
452	3519	365
453	3524	357
454	3528	348
455	3535	341
456	3539	333
457	3543	324
458	3549	317
459	3556	309
460	3560	301
461	3566	293
462	3571	285
463	3575	277
464	3578	269
465	3587	261
466	3591	253
467	3594	245
468	3600	238
469	3604	230
470	3608	222
471	3614	214
472	3618	206
473	3622	198
474	3626	190
475	3632	183
476	3635	175
477	3639	167
478	3644	159
479	3652	152
480	3656	144
481	3662	136
482	3667	129
483	3671	121
484	3676	113
485	3681	106
486	3687	98
487	3693	90
488	3697	83
489	3704	75
490	3711	68
491	3716	60
492	3720	52
493	3728	45
494	3734	37
495	3742	30
496	3749	22
497	3757	15
498	3764	7
499	3770	0
